ContextTokens,GeneratedTokens,start_timestamp_ms
4629,6,199373
1084,6,199373
1259,8,199374
7332,26,199477
4081,29,199480
1137,58,199675
1430,12,199759
596,6,199774
174,18,199855
2969,25,199861
2157,7,199863
596,67,199875
175,18,199954
108,11,199960
161,11,199961
3399,19,199961
1278,9,199975
296,6,200073
4629,6,200081
842,7,200082
220,6,200375
4771,16,200375
1059,9,200573
1087,6,200573
14,9,200675
1326,6,200775
627,48,200975
4769,9,200979
1326,6,201173
1195,9,201685
40,16,201777
2187,13,201875
4083,41,201875
846,12,202006
1260,19,202111
1197,6,202134
7435,13,202273
6051,13,202277
1196,18,202773
847,32,203206
7436,11,203235
1257,9,203573
4770,39,203677
847,26,203918
848,8,204360
694,155,204573
7435,13,204774
847,8,204799
1748,15,204807
7335,11,205002
4803,13,205175
1200,6,205176
694,16,205473
1490,6,205475
6054,6,205479
847,13,205575
1201,12,205677
1141,22,213745
377,11,213841
7421,13,213943
389,12,214035
1144,10,214040
3640,14,214041
968,16,214143
3376,118,214144
2436,7,214236
481,11,214736
2165,10,214739
103,13,214741
3548,15,214741
483,9,214942
2113,145,215040
2436,14,215041
2437,13,215044
1292,70,215139
7429,9,215141
7408,12,215240
484,10,215242
2575,16,215243
2113,123,215244
1282,15,215338
2595,186,215340
1852,12,215438
878,17,215440
945,9,215537
7419,8,215543
1148,39,215543
55,6,215544
239,10,215743
55,8,215834
56,9,215840
486,16,216641
176,88,216838
881,12,216839
1156,17,216839
971,40,218543
1006,7,218543
2860,239,219607
5219,8,219607
1922,6,219635
3378,8,219638
2872,20,219703
1175,9,219740
6606,11,219798
2005,13,219806
882,11,219838
881,8,219841
1292,70,219841
387,10,219901
2172,14,220004
2001,6,220008
387,9,220102
5423,9,220103
35,17,220103
879,14,220336
917,11,220421
4028,218,220499
3379,7,220535
3945,26,220540
89,8,221403
1202,7,221403
6607,11,221403
1294,6,221501
6906,302,221502
917,11,221502
1096,16,221509
1291,22,221603
50,66,221697
1847,8,221798
736,21,221804
5431,12,221898
1575,28,222183
727,7,222184
45,16,222282
2353,12,222282
194,6,222381
5881,6,222387
3253,73,222388
194,6,222478
1233,153,222481
195,13,222483
195,14,222488
2596,13,222540
1258,16,222543
5697,19,222579
1031,9,222579
5699,7,222585
1648,10,222585
552,12,222642
1861,9,222642
4681,58,222679
5801,7,222679
729,17,222685
879,8,222735
5886,8,222782
3765,9,222782
3760,13,222783
53,42,222785
108,15,222842
134,6,223549
7436,10,223637
58,13,223638
63,8,223936
1863,15,223939
65,16,224186
2670,6,224282
5801,91,224288
5801,37,224388
52,18,224408
92,15,224500
1291,48,224583
1916,9,224587
4030,72,224600
2555,11,224609
130,13,224638
768,11,224642
1469,10,224683
1879,18,224685
2241,10,224687
2976,16,224688
201,121,224688
945,9,224739
111,23,224739
53,44,224805
2174,8,224835
2215,16,224835
6611,10,224899
1747,9,224899
6919,16,224899
6646,14,224936
2608,33,224942
2553,11,225103
5442,11,225106
110,12,225137
324,10,225241
883,10,225242
928,6,225434
1292,12,225536
2608,34,225537
2123,21,225537
2116,33,225834
2287,10,225935
882,11,225936
45,11,226500
738,21,226604
859,14,226809
5452,10,226898
6478,41,226903
266,52,227004
859,22,227006
4035,25,227007
4684,6,227087
94,14,227099
6918,49,227105
50,20,227202
6608,11,227209
46,21,227300
97,10,227406
46,13,227597
5461,13,227598
4991,9,227598
1969,100,227603
4821,23,227604
2979,11,227684
1034,12,227779
736,12,227786
5801,61,227883
2979,19,227885
2242,17,227889
163,53,228184
2679,222,228186
1469,10,228189
193,11,228278
313,26,228279
5803,6,228283
4685,6,228283
1038,9,228289
72,9,228379
1469,10,228480
4530,11,228482
1650,39,228486
46,9,229598
47,12,229602
94,13,229703
5473,7,229703
661,22,229703
5473,7,230003
3330,21,230006
661,12,230007
1980,9,230008
3286,37,230404
94,8,230499
3286,19,230598
863,16,230605
865,16,230609
3287,9,230698
5590,76,230701
1981,7,230702
97,8,230804
2124,13,230807
5479,13,230900
50,9,230903
3325,12,231504
429,9,231600
10,7,231600
863,15,231601
5503,9,231604
1338,11,231702
3324,6,231703
5491,13,231703
1397,9,231706
10,16,231707
2130,12,231708
4829,16,231801
98,12,231803
863,9,231804
1802,15,231999
3326,11,232003
5511,12,232003
100,6,232004
866,18,232005
103,10,232103
2130,8,232201
5480,22,232202
7435,21,232206
2130,10,232302
50,53,232397
14,89,232402
3287,70,232402
7436,25,232604
2956,116,232604
866,33,232697
866,14,232801
175,361,232805
6922,300,232805
60,19,232898
15,85,232901
5522,12,232903
876,33,232907
1397,9,232998
5213,16,232999
74,18,233084
1001,12,233086
5533,6,233099
15,188,233101
6490,7,233106
301,12,233108
876,59,233108
3898,6,233183
1125,14,233183
3251,27,233185
3738,65,233186
3330,9,233200
5214,9,233202
4057,12,233203
1264,9,233383
1027,27,233383
137,15,233400
4057,24,233400
15,10,233401
81,10,233483
4990,12,233500
1026,17,233688
17,88,233698
2653,7,233703
430,28,233803
2653,8,233902
497,16,233999
7434,12,234003
1421,25,234008
1264,9,234083
2654,7,234098
17,206,234103
15,248,234197
408,7,234203
17,43,234308
5806,43,234478
4685,6,234479
3315,28,234483
5803,87,234484
409,56,234506
143,9,234507
2284,11,234509
1469,10,234580
1059,10,234681
406,14,234685
75,19,234687
2963,79,234707
7433,12,234785
1496,23,234785
3320,27,234786
1471,8,234788
145,12,234797
18,55,234997
3268,14,235000
7436,14,235079
200,12,235080
1495,6,235084
1473,14,235086
196,6,235087
5538,13,235099
1880,13,235178
76,17,235280
4688,52,235281
1037,9,235287
1498,8,235288
997,638,235298
146,8,235398
6,12,235481
5806,51,235482
198,11,235483
3616,18,235580
1472,9,235584
1498,9,235584
80,9,235585
1053,9,235681
881,10,235686
1042,10,235686
4695,48,235779
52,17,235797
1497,9,235882
79,9,235884
504,10,235897
896,14,235898
202,6,235984
100,18,235998
145,12,236000
1164,18,261147
2546,11,261263
2132,71,261368
1205,12,261369
3738,10,261370
3634,7,261635
1542,8,261734
3296,24,261735
2616,18,261737
4662,10,261834
675,7,261834
101,12,261834
1456,13,261838
1875,7,262202
2615,22,262202
3634,6,262257
2547,6,262334
1087,11,262527
6055,10,262635
248,9,262635
1165,42,262654
2822,56,262757
678,16,263035
2615,24,263135
120,17,263135
100,13,263235
7436,12,263436
965,9,263778
2547,11,263835
2616,19,263851
1549,67,263893
6056,8,264135
1201,6,264234
924,13,264256
251,49,264257
3297,12,264334
2132,43,264436
2096,7,264596
264,8,264693
2133,33,264967
1872,19,265097
7436,13,265289
1163,16,265437
56,18,265539
599,6,265774
264,14,265858
908,23,265872
1163,10,265944
2755,9,269161
3014,6,269254
337,66,269255
2545,7,269458
143,6,269458
349,13,269554
5901,7,269555
174,10,269878
4078,12,269954
7435,10,269955
229,15,269985
173,11,270058
1432,25,270254
2386,148,270527
840,10,271255
5957,13,271354
3511,45,271454
3014,13,271455
172,14,271854
4078,13,271975
5902,21,272109
2605,792,272154
7435,9,272155
3513,14,272178
172,21,272731
2504,16,272745
1433,14,273155
338,7,273257
2504,17,273457
1094,10,273718
3768,41,273920
1433,16,273954
2867,6,274059
5804,61,274064
173,16,274157
4075,10,274254
2867,7,274255
5961,11,274274
7412,14,274356
2506,10,274361
144,6,274454
2559,53,274564
3514,87,274754
41,8,274756
1263,30,274857
2507,6,274858
2390,6,274955
2093,9,274956
2868,14,275054
174,9,275059
200,10,275457
718,6,275556
3514,49,275671
3777,15,275685
2868,17,275754
201,8,276054
5963,7,276059
1951,48,276432
178,8,276688
1698,6,276762
173,15,276854
7435,139,276854
363,8,276954
1953,15,277454
292,15,277557
3385,22,277796
3515,54,278054
41,36,278154
204,63,278263
336,9,278394
4075,24,278604
179,11,278656
1434,18,278754
224,12,279009
2403,37,279073
127,71,281904
3265,7,282125
55,777,282150
146,35,282199
3480,13,282231
2003,46,282319
148,10,282498
3480,12,282967
4750,19,283028
3480,10,283565
148,32,283598
3482,10,284119
7436,14,284120
247,13,284124
741,18,284200
7435,10,284500
243,9,284604
4749,39,284697
3630,9,284876
3281,6,284995
6499,19,285079
198,70,293178
2689,22,293379
747,8,293382
1165,15,293413
40,55,293509
2330,8,293513
356,8,293682
298,60,294013
767,35,294110
767,11,294111
747,9,294279
356,7,294581
7435,8,294680
4675,14,294781
2821,12,294900
770,14,294900
298,100,295084
2331,6,295202
1085,9,295580
358,17,295580
4656,9,295779
2692,7,295983
299,46,296179
2462,11,296202
900,841,296379
36,49,296380
19,10,296517
853,7,296682
2825,7,296784
348,16,296784
774,16,297379
854,8,297441
2825,295,297980
349,34,297980
298,115,298184
261,6,298280
37,34,298381
854,16,298585
261,6,298585
6735,34,299576
3026,17,299690
3165,26,299745
1985,19,299957
1708,42,300011
2171,19,300049
2135,9,300251
4423,13,300265
2389,19,300345
7436,7,300447
1297,16,300548
462,9,300645
3026,11,300645
390,16,300767
2173,27,300946
1042,20,301068
821,34,301145
2136,52,301174
341,16,301416
4425,94,301749
3364,6,301940
2137,54,302150
2644,18,302447
1695,48,302548
211,6,302708
1500,60,302880
1779,16,302977
396,18,303386
888,9,303647
2103,7,303745
7436,17,303746
220,14,303747
3028,17,303917
2103,7,304025
3967,10,304272
4642,10,304351
399,7,304442
1164,97,304684
1984,253,304717
3601,9,304747
1948,22,305050
1463,51,305407
1195,54,305845
5538,21,306079
3601,9,306346
4634,10,306449
2108,7,306645
2149,46,306647
1154,67,306665
7436,8,306853
2157,6,306866
401,12,307149
3372,12,307245
471,17,307350
942,69,307554
253,16,307554
2393,28,307748
1198,7,307756
253,6,307845
5469,21,308201
401,13,308393
1200,6,308552
392,6,308552
1295,17,308952
2169,11,308964
2823,15,309046
820,16,309646
2169,21,309749
1698,46,309750
868,7,309750
4451,97,309847
2941,6,310149
477,12,310278
2075,10,310280
2171,26,310647
4454,6,310668
1957,10,310785
4454,13,311244
4360,11,311332
1586,15,311504
3383,79,312005
825,12,312016
2174,28,312146
3616,42,312576
825,19,312659
10,10,336225
2297,31,336598
405,7,336854
4631,433,336946
7436,56,336989
6965,7,337048
4610,6,337147
706,10,337416
406,7,337440
2158,26,337545
1002,26,337646
196,14,337814
11,19,338308
2248,23,338446
3230,23,338773
4063,8,338805
1738,10,339245
7435,34,339617
2144,22,339758
2253,18,340147
16,7,340348
7435,6,340380
5479,12,340449
6965,12,340645
2145,14,340646
1131,9,340646
1131,7,341255
3231,26,341373
12,17,341556
2076,58,341646
7435,15,341666
1130,20,341668
775,8,342113
775,8,342546
15,9,342845
3247,25,342874
2117,8,343334
7435,7,343551
1131,9,343553
30,20,344145
253,30,344163
3262,19,344326
1976,69,344467
209,9,344687
890,13,345320
364,31,345433
2750,6,345466
4947,14,345576
5480,19,345645
255,46,384159
1428,13,384159
1616,11,384354
235,12,384374
992,9,384562
2043,9,384896
73,31,385209
548,11,385354
257,13,385555
4630,19,385558
1428,10,385661
2022,23,385814
3622,6,385854
761,27,385954
5850,17,385954
409,15,422375
121,11,422375
1042,15,422573
792,9,422573
2441,11,422675
2847,6,422675
37,8,422678
694,9,422682
16,11,422993
152,19,423273
1292,19,423280
267,8,423500
699,58,423673
413,28,423675
4486,31,423775
2524,18,424282
136,17,424379
1293,93,424380
561,48,424478
701,31,424674
2783,26,424775
994,9,425239
1486,8,425478
38,7,425679
2444,12,425691
17,12,425775
43,7,425978
41,14,426073
703,25,426188
1172,11,426503
2784,25,426577
701,75,426773
42,12,427077
3157,6,427577
41,16,428075
631,9,428133
1329,9,428412
1615,6,428456
1363,12,428474
1486,17,428575
2784,47,428759
4489,16,428794
1307,15,516088
1016,7,516183
512,14,516378
2451,6,516479
5035,14,516483
988,10,516586
2018,15,516681
94,18,517185
1311,7,517281
990,14,517385
1543,10,517385
397,28,517584
1882,13,517682
1046,7,517685
7436,17,517779
2960,283,517782
7436,13,517782
1018,6,520080
2488,20,520081
1050,10,520282
399,16,520481
4393,12,520487
94,7,520582
2546,8,520582
1885,10,521184
1050,11,521189
376,19,521380
997,7,521387
377,9,521488
4981,6,521582
999,26,521583
94,54,521588
1052,20,521680
551,7,521684
2048,9,521687
5004,15,521688
1841,8,524084
4486,35,524187
920,82,557637
491,180,557737
312,16,557839
2275,7,557840
7436,12,557944
7436,11,558039
851,16,558039
2364,42,558040
2275,13,558134
636,210,558137
920,70,558139
73,14,558140
126,19,558141
7436,8,558237
2450,97,558436
2274,36,558436
491,31,558437
4432,15,558440
2275,8,558440
636,22,558441
64,44,558552
491,58,558561
491,116,559640
492,30,559838
2276,15,559838
1101,108,559936
3980,9,559936
5744,13,559939
775,13,560034
2364,157,560039
956,6,560136
181,9,560137
782,7,560741
926,52,560743
7437,7,560837
3985,6,562537
18,12,562637
181,8,562638
493,25,562639
7435,11,562737
353,14,562835
3381,16,563254
7270,10,563556
1155,30,563558
7382,51,563634
494,35,563635
7435,61,563642
2222,21,563654
4120,19,563754
581,18,563873
693,7,563938
1100,8,563938
4175,14,564135
679,149,564137
492,130,564141
1726,16,564144
43,24,564181
1156,8,564190
3381,10,564455
4703,9,564554
131,7,564635
3926,22,564639
637,403,564639
2964,11,565035
5504,35,565075
966,10,565355
1156,25,565380
514,28,565481
715,17,565757
1157,11,565954
363,25,567538
695,7,567636
1105,56,567636
130,7,567939
495,37,568540
496,55,568541
879,11,568735
36,14,568822
355,54,568835
1556,21,569017
2409,25,569034
496,76,569043
455,29,569083
879,22,569142
11,14,569183
1108,6,569240
668,22,569279
1370,12,569340
47,23,569341
37,21,569391
355,60,569536
456,18,569616
2280,21,569637
932,57,569740
1702,23,569838
2771,9,569838
132,11,569838
1030,41,569839
1608,12,569840
2747,10,569841
2280,11,569843
771,6,569879
355,58,569938
495,211,569941
2748,7,569944
456,16,569980
1352,9,569980
2411,12,570034
1108,27,570035
1692,9,570040
699,49,570134
2411,8,570140
356,48,570142
781,93,570238
1108,13,570335
597,13,570336
7384,24,570339
7435,41,570379
11,14,570379
1876,6,570440
2411,47,570442
28,14,570500
4262,127,570506
595,64,570639
1650,11,570736
596,6,570742
140,17,570743
1112,103,570837
2969,24,570840
7436,10,570840
772,6,570879
5804,10,570880
2412,103,570935
336,16,570942
261,10,570942
3328,14,570944
496,69,570945
7384,12,571040
364,28,571042
203,28,571187
2293,30,571242
2086,61,571271
1502,11,571344
1896,10,571382
259,8,571436
2748,7,571436
100,25,571447
38,23,571478
1357,12,571535
144,11,571583
100,16,571780
1115,14,571840
203,19,571884
2640,8,571935
5405,21,571983
1357,14,572041
2297,30,572041
705,231,572043
456,180,572087
261,12,572139
7390,34,572140
2640,16,572140
75,18,572141
1563,10,572182
16,14,572183
2772,6,572281
1881,25,572342
2298,16,572342
2434,9,572342
93,63,572342
2987,9,572343
3811,9,572345
1596,15,572441
960,7,572442
1017,20,572500
18,10,572500
100,60,572580
2508,6,572609
203,28,572609
340,14,572640
782,8,572643
1803,12,572698
773,8,572779
1454,172,572800
1035,52,572803
92,7,572804
1208,10,572804
2992,9,572837
1112,26,572837
5546,18,572902
2639,10,572940
4176,10,572940
1115,9,572942
1112,9,572943
2302,8,572944
2020,25,572999
225,13,573001
1819,8,573001
3132,6,573001
146,13,573089
29,24,573100
6692,19,573103
3775,18,573104
2437,8,573134
673,17,573145
853,11,573197
2302,12,573239
98,12,573242
2228,10,573243
2387,24,573299
7427,8,573299
631,11,573336
23,21,573398
69,16,573440
5547,17,573504
220,13,573536
2457,8,573538
498,249,573538
2942,55,573597
1589,22,573639
2460,13,573640
2458,6,573739
4179,14,573743
2988,12,573744
1145,11,573800
2462,8,573839
1806,15,573905
1589,22,573935
1392,9,573942
2641,14,573943
1884,6,573943
3811,7,573943
6483,7,573998
241,11,574003
4585,9,574009
1884,6,574040
1598,32,574044
673,11,574080
26,19,574106
2302,13,574238
2437,8,574243
1039,55,574300
1510,11,574304
1431,9,574338
3710,7,574339
711,57,574344
1897,55,574379
1023,13,574403
2981,15,574440
3126,9,574498
819,7,574501
1032,6,574504
454,11,574537
7436,6,574601
2168,10,574602
7436,30,574635
757,85,574681
782,17,574692
259,11,574734
2302,52,574734
2981,7,574738
944,13,574739
1112,70,574741
2430,8,574742
1114,14,574845
336,10,574845
1038,55,574899
2982,6,574939
1893,6,574939
2430,12,574941
1465,11,575003
1160,15,575004
7435,9,575037
633,202,575042
7430,16,575106
1219,19,575109
2430,6,575134
752,9,575139
890,26,575140
1615,50,575143
2168,10,575199
1370,7,575200
2216,10,575200
6695,9,575299
2152,153,575299
912,7,575302
131,7,575303
7436,13,575305
2306,7,575338
3816,9,575340
334,13,575344
2305,8,575400
1281,31,575404
2948,60,575406
1318,29,575407
742,37,575437
2307,10,575539
2428,11,575540
905,11,575739
1111,9,575837
2308,24,575841
702,279,575842
336,10,575937
909,9,575938
808,24,576035
3711,6,576139
7429,12,576140
729,65,576145
890,12,576237
74,30,576241
456,17,576244
261,15,576339
2305,8,576340
3659,6,576437
261,14,576440
3659,6,576440
3659,6,576442
2430,6,576445
2433,6,576545
2431,20,576635
864,13,576734
710,157,576936
1039,9,577236
2433,28,577437
1355,11,578139
2435,7,578240
2302,92,578334
868,16,578336
3713,12,578336
223,15,578401
1926,9,578502
870,11,578740
11,8,578740
890,7,578834
1833,15,578934
1339,26,579234
935,10,579234
2049,13,579438
1833,12,579638
3714,11,579735
730,75,579735
2727,15,580036
2437,6,580234
1347,7,580438
2457,13,580599
5545,18,580599
251,7,580608
129,13,580698
1147,15,580734
7436,12,580737
2256,9,580802
1008,23,580808
7435,6,580809
1347,6,580835
893,10,580836
1429,9,581000
1019,6,581007
954,10,581101
6633,10,581101
7435,15,581101
6694,9,581104
1125,9,581197
1020,6,581197
1119,9,581203
3001,8,581237
3652,24,581237
1150,6,581334
2307,20,581402
2439,9,581437
4524,12,581537
2736,6,581600
131,7,581600
2728,15,581637
1093,14,581637
122,6,581706
3338,9,581802
128,11,581804
1119,27,581805
2733,12,581805
936,16,581838
875,18,581838
82,6,581902
3122,14,581905
2448,106,581934
1009,12,581999
1125,18,582003
1281,10,582101
1931,6,582103
2135,20,582299
1150,25,582336
2186,40,582400
2244,14,582403
109,9,582403
3002,17,582434
135,9,582438
895,6,582534
1586,55,582701
1093,11,582837
2729,15,582837
476,14,582838
83,6,582899
715,252,582934
5630,13,583001
4597,65,583036
1281,21,583100
476,7,583338
1932,9,583403
5607,9,583502
6699,10,583605
2466,9,583605
2439,44,583634
5544,12,583703
4393,11,583704
3977,13,583704
6877,20,583801
732,10,583834
352,319,583899
897,52,583934
3000,201,583936
29,8,584001
1019,10,584007
5608,13,584100
1429,7,584100
2310,16,584104
920,7,584300
1095,19,584303
1119,15,584304
7436,10,584307
126,13,584308
87,15,584308
2309,7,584535
2294,28,584602
1363,20,584602
3452,6,584602
1014,11,584698
1109,42,584702
4141,12,584709
125,14,584897
223,8,584898
1818,7,584898
1119,17,584900
2456,10,584903
349,9,584904
14,37,584907
1469,15,584909
483,17,585034
5184,6,585097
30,36,585101
1199,87,585101
2983,9,585103
345,10,585103
7436,6,585104
1021,16,585104
358,15,585198
929,8,585199
2297,6,585203
1020,6,585203
1125,7,585203
2455,12,585204
1035,31,585205
7436,15,585205
1818,9,585206
2128,9,585207
1114,11,585208
2253,9,585208
346,6,585209
1135,27,585305
3816,17,585335
47,7,585399
5543,13,585401
230,14,585603
1044,52,585702
2254,6,585705
2830,9,585902
1125,14,585902
392,82,585903
1266,13,602276
3478,15,602375
3402,7,602473
2775,12,603174
3242,18,603277
676,6,603377
1387,27,603385
1269,15,603604
6,9,603646
4074,12,603668
2070,7,603787
819,24,603789
3634,21,603849
1270,9,603974
985,13,604073
279,15,604078
3531,9,604152
1186,16,604198
1609,10,604577
1057,7,604673
2128,60,604746
1186,13,604875
3536,20,604877
2577,94,604945
1386,61,604996
1539,15,605107
386,7,605145
3489,18,605173
318,91,605276
1767,11,605375
1058,20,605519
1779,9,605553
1539,14,605695
1749,9,605772
1692,14,605947
589,6,605961
3835,294,605974
1439,22,605988
385,10,606047
1168,7,606049
3244,20,606273
1272,66,606375
5391,17,606447
2780,10,606473
269,25,606551
318,18,606577
1059,19,606796
7436,13,606923
1184,19,606947
1762,22,607045
51,37,607067
386,9,607209
965,31,607233
2595,193,607372
821,15,607445
319,90,607573
151,11,607575
388,17,607749
3481,6,607904
156,9,607947
1803,12,608147
554,9,608270
438,37,608379
924,10,608446
3573,201,608475
1328,7,608502
1677,172,608529
840,9,608573
908,8,608645
386,9,608845
1618,10,608873
742,19,608873
768,8,608880
821,25,608884
1328,6,608945
431,15,608973
604,8,609177
175,7,609276
2129,12,609367
559,7,609745
1371,10,609858
175,13,609875
2129,13,609945
925,7,609950
3639,23,609950
1676,29,609950
1454,13,609977
162,7,609978
472,9,610073
2784,43,610175
3577,7,610273
577,25,610275
925,9,610372
1373,7,610445
3690,8,610473
908,11,610545
3640,14,610647
925,6,611045
2263,32,611145
1638,43,611145
901,7,611351
321,28,611374
907,11,611376
3578,9,611376
1373,9,611445
4574,20,611583
393,21,611646
1721,7,611780
7435,9,611780
4343,21,611781
1345,22,612284
1730,24,612284
3562,14,612285
1454,83,612378
2786,37,612475
11,87,612574
577,114,612582
1722,11,612582
321,111,612583
304,11,612583
1275,15,612585
2786,49,612678
474,8,612679
1538,18,612796
2705,76,612824
4174,19,613174
353,57,613485
770,17,613580
4587,8,613581
3579,11,613582
1722,31,613582
1864,37,613584
474,11,613585
442,15,613645
1262,19,613660
1862,9,613773
1175,89,613779
3579,7,613781
2273,7,613877
1075,58,613879
3580,6,614074
7436,22,614091
1705,8,614156
2106,57,614178
1680,21,614356
3014,9,614381
384,9,614381
972,165,614381
1728,6,614576
2277,52,614576
647,153,614645
3666,8,614669
1500,719,614675
2705,7,614676
1481,822,614755
2378,7,614847
1037,13,614946
4174,20,615047
1728,15,615074
2378,9,615145
7435,16,615145
3908,9,615177
1262,18,615252
2152,16,615368
1280,52,615573
2601,13,615647
182,7,615675
1141,25,615875
459,24,615975
562,12,615977
3932,14,616073
1693,9,616164
89,7,616275
156,25,616281
7437,24,616400
7436,6,616477
1280,26,616578
3688,9,616611
1375,19,616899
2269,7,616939
89,7,616956
1280,8,617073
941,27,617090
2601,125,617122
354,24,617202
2793,64,617273
2277,40,617378
1143,43,617379
1693,9,617402
2782,10,617746
2157,8,617761
2269,12,617793
1693,9,617807
1597,7,617973
3569,12,618177
184,15,618273
51,8,618449
1703,13,618449
90,6,618545
4795,9,618791
2159,6,618805
1723,10,618917
13,30,618945
1145,44,618973
2271,10,618973
776,10,618973
2633,70,619012
6422,14,619045
1376,13,619045
1763,51,619074
1047,28,619230
90,6,619352
1478,145,619573
4301,7,619574
2111,343,619574
6424,13,619648
90,6,619847
166,9,619855
2792,196,619873
185,9,619973
2775,11,620045
1048,55,620077
15,29,620150
2642,11,620247
168,11,620372
2522,15,620455
1345,15,620673
1950,6,620696
6426,12,620745
2775,12,620853
17,18,620945
1124,19,620975
137,1899,620978
1050,11,621134
430,6,621173
771,55,621173
2284,40,621308
2523,9,621451
1406,9,621538
2652,55,621645
7436,11,621881
391,9,621967
440,23,622045
1375,13,622047
1780,36,622172
819,6,622254
172,9,622445
1276,9,622486
61,8,622486
464,6,622645
676,7,622773
772,167,622792
924,8,622845
2663,21,622875
1782,15,623062
1174,9,623145
1376,9,623246
679,10,623295
4299,9,623377
19,15,623426
925,9,623575
62,6,623597
1938,12,623612
1297,232,623674
165,13,623773
772,20,623795
456,15,623900
922,6,623945
320,34,623974
1035,10,623974
679,14,624176
92,60,624262
1706,13,624267
1195,11,624350
178,9,624364
166,58,624380
2683,55,624448
63,6,624475
22,9,624545
1940,20,624575
1049,18,624645
178,9,624666
1346,15,624673
1193,7,624754
1057,13,624845
1279,6,624982
4339,15,624982
679,12,625078
773,61,625079
476,14,625173
1940,6,625178
442,17,625245
276,22,625275
2093,12,625279
4340,14,625381
1279,21,625484
64,6,625485
1050,17,625645
681,10,625776
5411,10,625779
26,15,625845
578,13,625847
773,63,625873
1205,58,625877
3577,23,625976
454,12,625977
2022,15,626114
922,42,626469
3335,16,626546
28,15,626645
5411,10,626746
2385,7,626961
1050,15,627047
2707,58,627245
3335,20,627268
7,19,627647
1468,10,627651
2687,19,627947
1050,15,628163
2528,20,628245
3444,379,628545
94,12,628652
1380,52,628845
5412,25,628855
7,18,628856
269,49,628964
4800,7,629021
5047,202,636035
145,7,636352
934,33,636439
89,45,636737
2628,10,636944
842,61,637057
3143,6,637151
2025,871,637151
146,26,637235
1641,9,637705
1101,9,637937
2752,40,638012
1101,9,638138
2026,287,638145
1101,9,638437
402,34,638541
895,6,638634
3853,7,638734
6044,7,638852
1964,9,638892
2755,7,639134
402,10,639234
